
 displacements (vx,vy,vz) for set LEFT_LOWER_DATUM and time  0.1000000E+01

        25  4.667987E-01 -2.433763E-02  2.045915E-06
        27  4.666246E-01  2.704300E-02  1.127782E-06
       272  4.666820E-01  1.407900E-03  1.927414E-06

 displacements (vx,vy,vz) for set LEFT_UPPER_DATUM and time  0.1000000E+01

        26  2.248114E-01 -1.442828E-02 -9.755205E-07
        28  2.242522E-01  2.899153E-02  8.937124E-07
       284  2.244419E-01  7.337508E-03  1.731482E-06

 displacements (vx,vy,vz) for set RIGHT_UPPER_DATUM and time  0.1000000E+01

         6 -2.244714E-01  2.897303E-02  3.453866E-06
         8 -2.250306E-01 -1.442916E-02  3.668381E-06
       119 -2.246611E-01  7.327920E-03  5.350152E-06

 displacements (vx,vy,vz) for set RIGHT_LOWER_DATUM and time  0.1000000E+01

         3 -4.667547E-01  2.702396E-02  1.911626E-05
         4 -4.669290E-01 -2.434041E-02  2.735423E-05
        87 -4.668121E-01  1.396828E-03  2.345266E-05

 stresses (elem, integ.pnt.,sxx,syy,szz,sxy,sxz,syz) for set ALL and time  0.1000000E+01

         1   1 -2.822773E+00 -1.764980E+01 -1.187232E+01  2.853906E+00  5.536177E+00 -1.000980E+01
         1   2  8.471553E-01 -1.226631E+01 -5.022713E+00  3.274763E+00  5.068249E+00 -6.944948E+00
         1   3 -1.392498E+00 -1.693478E+01 -1.091921E+01  3.581966E+00  2.004840E+00 -6.780555E+00
         1   4  1.805164E+00 -1.202356E+01 -5.171554E+00  4.002823E+00  1.465119E+00 -4.496198E+00
         1   5  1.316027E+00 -4.861969E+00 -6.792707E+00  8.571624E-01  7.103749E+00 -9.850723E+00
         1   6  3.585962E+00 -2.741825E+00 -1.346401E+00  1.192321E+00  6.635443E+00 -7.165799E+00
         1   7  2.479873E+00 -4.259672E+00 -5.948896E+00  7.944197E-01  3.196731E+00 -6.575110E+00
         1   8  4.270762E+00 -2.618575E+00 -1.620365E+00  1.129578E+00  2.655601E+00 -4.681889E+00
         2   1 -1.793258E-01 -9.837392E+00 -3.131689E+00  6.809456E+00  6.833362E+00 -5.065115E+00
         2   2  1.887814E+00 -4.924320E+00 -1.154295E+00  6.808702E+00  6.886995E+00 -2.994169E+00
         2   3 -5.667845E-01 -1.022357E+01 -4.031487E+00  8.018641E+00  2.622641E+00 -3.194096E+00
         2   4  1.722577E+00 -5.088276E+00 -1.535576E+00  8.017887E+00  2.468642E+00 -1.921045E+00
         2   5  3.356511E+00 -1.941981E+00  2.941764E-01  4.203178E+00  6.767924E+00 -5.361835E+00
         2   6  3.996156E+00 -3.612887E-01  8.456325E-01  3.954575E+00  6.820466E+00 -3.118239E+00
         2   7  2.236839E+00 -2.645125E+00 -9.299634E-01  4.597353E+00  2.649166E+00 -3.463952E+00
         2   8  3.101897E+00 -8.390195E-01  1.474558E-01  4.348750E+00  2.491095E+00 -2.029707E+00
         3   1 -1.000624E+00 -3.084356E+00 -1.581490E+00  7.940276E+00  6.945130E+00 -1.432891E+00
         3   2  1.222608E+00  2.250190E+00  4.947383E-01  7.920702E+00  6.940384E+00  7.616524E-01
         3   3 -1.072676E+00 -3.123140E+00 -1.638719E+00  9.262218E+00  2.473396E+00 -9.291074E-01
         3   4  1.335849E+00  2.396698E+00  8.698591E-01  9.242643E+00  2.455789E+00  5.078663E-01
         3   5 -1.149611E-01 -9.866454E-01 -6.866040E-01  5.080668E+00  6.849406E+00 -1.441252E+00
         3   6  7.527849E-01  1.183801E+00  3.543661E-02  5.045742E+00  6.844592E+00  8.967651E-01
         3   7 -2.313992E-01 -1.044566E+00 -7.632338E-01  5.626327E+00  2.440489E+00 -9.302348E-01
         3   8  8.243000E-01  1.313834E+00  3.973642E-01  5.591401E+00  2.422630E+00  6.393351E-01
         4   1 -2.074950E+00  4.095148E+00  6.594620E-02  6.360430E+00  6.706834E+00  2.483318E+00
         4   2  3.828476E-01  9.668321E+00  2.685434E+00  6.372184E+00  6.684055E+00  4.992451E+00
         4   3 -1.723315E+00  4.426807E+00  8.198395E-01  7.684097E+00  2.290175E+00  1.591297E+00
         4   4  9.459301E-01  1.021143E+01  3.932703E+00  7.695851E+00  2.447072E+00  3.114310E+00
         4   5 -3.750392E+00  3.357675E-01 -1.561616E+00  3.864843E+00  6.765674E+00  2.730639E+00
         4   6 -3.057171E+00  1.790113E+00 -7.052236E-01  4.091076E+00  6.743840E+00  5.402859E+00
         4   7 -2.765839E+00  9.412749E-01 -5.278111E-01  4.183654E+00  2.429863E+00  1.825810E+00
         4   8 -1.858135E+00  2.610103E+00  8.290417E-01  4.409886E+00  2.590284E+00  3.497751E+00
         5   1 -9.423038E-01  1.222041E+01  4.790439E+00  3.099729E+00  4.956474E+00  7.188949E+00
         5   2  2.991412E+00  1.791049E+01  1.221274E+01  2.673230E+00  5.572802E+00  1.068076E+01
         5   3 -1.797703E+00  1.208986E+01  5.210662E+00  3.845977E+00  1.304963E+00  4.603167E+00
         5   4  1.610268E+00  1.725419E+01  1.140623E+01  3.419478E+00  1.920309E+00  7.147785E+00
         5   5 -3.406363E+00  2.346678E+00  1.092864E+00  1.270354E+00  6.677358E+00  7.504088E+00
         5   6 -1.171395E+00  4.076698E+00  6.812737E+00  8.426837E-01  7.293680E+00  1.057253E+01
         5   7 -4.241310E+00  2.228279E+00  1.533149E+00  1.058847E+00  2.611391E+00  4.881178E+00
         5   8 -2.539637E+00  3.425005E+00  6.008670E+00  6.311772E-01  3.226717E+00  6.988833E+00
         6   1 -5.257512E+00 -2.933362E+01 -1.431775E+01  2.550602E+00  5.958709E-01 -7.246879E+00
         6   2 -7.302090E-01 -2.064547E+01 -7.914890E+00  3.210750E+00  1.113779E-01 -4.856938E+00
         6   3 -9.511089E-01 -2.614915E+01 -8.009271E+00  4.318471E+00  3.885365E-01 -5.515151E+00
         6   4  2.618777E+00 -1.841842E+01 -3.840385E+00  4.978619E+00  1.131025E-01 -3.653318E+00
         6   5 -3.840238E+00 -2.277974E+01 -1.180406E+01  2.671884E+00  1.477721E+00 -5.330155E+00
         6   6 -2.873755E-01 -1.632682E+01 -6.414098E+00  3.581584E+00  9.995256E-01 -3.718031E+00
         6   7  1.203721E+00 -1.925995E+01 -5.115414E+00  3.886623E+00  6.054542E-01 -3.573565E+00
         6   8  3.785421E+00 -1.377820E+01 -1.991497E+00  4.796322E+00  3.393194E-01 -2.497131E+00
         7   1 -2.952450E+00 -1.668089E+01 -6.426194E+00  7.686495E+00  9.108080E-01 -3.451221E+00
         7   2  6.385923E-01 -8.456351E+00 -2.680591E+00  8.021051E+00  7.166696E-01 -2.000672E+00
         7   3 -1.060706E+00 -1.535773E+01 -3.907411E+00  9.655184E+00  5.298278E-01 -2.569309E+00
         7   4  2.152123E+00 -7.511407E+00 -1.044307E+00  9.989739E+00  4.145744E-01 -1.469572E+00
         7   5 -2.055373E+00 -1.327319E+01 -5.087937E+00  7.812176E+00  9.561290E-01 -2.711049E+00
         7   6  8.961338E-01 -6.525704E+00 -1.997060E+00  8.240897E+00  7.643669E-01 -1.572050E+00
         7   7  1.112597E-01 -1.182486E+01 -2.426822E+00  9.402189E+00  3.077745E-01 -1.816475E+00
         7   8  2.679123E+00 -5.461024E+00 -2.311151E-01  9.830909E+00  1.960301E-01 -1.033324E+00
         8   1 -1.650548E+00 -4.480084E+00 -2.085450E+00  9.451560E+00  7.149865E-01 -8.966490E-01
         8   2  1.967035E+00  3.928458E+00  1.564618E+00  9.425666E+00  6.958997E-01  6.690511E-01
         8   3 -1.482967E+00 -4.268496E+00 -1.547740E+00  1.148715E+01  4.418303E-01 -6.487337E-01
         8   4  1.764488E+00  3.769917E+00  1.238697E+00  1.146126E+01  4.319200E-01  4.941008E-01
         8   5 -1.263794E+00 -3.464594E+00 -1.652006E+00  9.826923E+00  7.027151E-01 -6.945352E-01
         8   6  1.585481E+00  3.166097E+00  1.214889E+00  9.811983E+00  6.839048E-01  5.638803E-01
         8   7 -1.059494E+00 -3.235263E+00 -1.091869E+00  1.141084E+01  1.692175E-01 -4.430607E-01
         8   8  1.414340E+00  3.019986E+00  8.989946E-01  1.139590E+01  1.597154E-01  3.864183E-01
         9   1 -5.454357E-01  7.925090E+00  2.194849E+00  7.728868E+00  5.623962E-01  1.837780E+00
         9   2  3.317998E+00  1.658350E+01  6.414551E+00  7.365794E+00  7.489274E-01  3.465108E+00
         9   3 -2.047861E+00  7.039718E+00  7.460327E-01  9.766166E+00  3.261502E-01  1.358593E+00
         9   4  1.374152E+00  1.525671E+01  3.935753E+00  9.403093E+00  4.353016E-01  2.577595E+00
         9   5 -7.312412E-01  6.203892E+00  1.600682E+00  8.084947E+00  7.099758E-01  1.487056E+00
         9   6  2.387772E+00  1.314305E+01  5.058234E+00  7.629506E+00  8.941760E-01  2.750802E+00
         9   7 -2.495278E+00  5.202933E+00  2.819036E-02  9.685084E+00  1.648872E-01  1.000989E+00
         9   8  1.759763E-01  1.169433E+01  2.440973E+00  9.229644E+00  2.705967E-01  1.850547E+00
        10   1  7.166475E-01  2.058710E+01  7.982778E+00  3.005818E+00 -4.280473E-02  5.004251E+00
        10   2  5.460887E+00  2.960159E+01  1.478242E+01  2.360887E+00  4.837615E-01  7.581940E+00
        10   3 -2.601564E+00  1.836496E+01  3.893877E+00  4.820170E+00  2.770602E-02  3.751571E+00
        10   4  1.119522E+00  2.635630E+01  8.306161E+00  4.175239E+00  3.251360E-01  5.739930E+00
        10   5  3.314442E-01  1.612558E+01  6.455656E+00  3.508509E+00  9.338907E-01  3.852342E+00
        10   6  3.989643E+00  2.264707E+01  1.212816E+01  2.590060E+00  1.453554E+00  5.598056E+00
        10   7 -3.781696E+00  1.355128E+01  1.987784E+00  4.707851E+00  2.979905E-01  2.581677E+00
        10   8 -1.161341E+00  1.903492E+01  5.238655E+00  3.789402E+00  5.852282E-01  3.729600E+00
        11   1 -4.811832E+00 -4.006726E+01 -1.059364E+01  2.306466E+00  2.435508E-01 -4.370742E+00
        11   2  8.829005E-02 -2.843188E+01 -5.895277E+00  2.994199E+00  7.073980E-02 -3.063812E+00
        11   3 -8.469728E-01 -3.727122E+01 -5.238378E+00  5.168155E+00  4.767062E-01 -3.586181E+00
        11   4  3.426798E+00 -2.626220E+01 -2.001500E+00  5.855889E+00  3.720671E-01 -2.501430E+00
        11   5 -4.017220E+00 -3.699061E+01 -9.249304E+00  2.440522E+00  9.578614E-02 -2.800131E+00
        11   6  4.506369E-01 -2.631792E+01 -5.029131E+00  3.209632E+00 -7.327599E-02 -2.003867E+00
        11   7  1.848477E-01 -3.407716E+01 -3.739885E+00  5.039524E+00 -1.008678E-01 -2.004304E+00
        11   8  4.017360E+00 -2.403982E+01 -1.002183E+00  5.808634E+00 -2.007791E-01 -1.433410E+00
        12   1 -3.330592E+00 -2.293002E+01 -5.714667E+00  7.776465E+00  2.991375E-01 -2.221573E+00
        12   2  1.272194E+00 -1.145824E+01 -1.843822E+00  8.114571E+00  2.239727E-01 -1.227461E+00
        12   3 -1.412011E+00 -2.158606E+01 -3.153386E+00  1.069498E+01  4.673518E-01 -1.805754E+00
        12   4  2.778736E+00 -1.052632E+01 -2.439654E-01  1.103308E+01  4.224216E-01 -9.898828E-01
        12   5 -2.853438E+00 -2.127866E+01 -4.989088E+00  7.918029E+00 -9.881971E-02 -1.472151E+00
        12   6  1.407543E+00 -1.057422E+01 -1.490260E+00  8.292226E+00 -1.723218E-01 -8.157400E-01
        12   7 -8.301622E-01 -1.988234E+01 -2.357969E+00  1.061699E+01 -2.136497E-01 -1.050362E+00
        12   8  3.012864E+00 -9.595855E+00  1.656313E-01  1.099118E+01 -2.564832E-01 -5.747504E-01
        13   1 -2.143912E+00 -5.929722E+00 -1.952217E+00  9.654041E+00  2.565688E-01 -5.060082E-01
        13   2  2.464123E+00  5.650040E+00  1.828139E+00  9.628946E+00  2.509388E-01  4.709264E-01
        13   3 -2.008818E+00 -5.751978E+00 -1.494831E+00  1.261620E+01  4.404872E-01 -4.043800E-01
        13   4  2.215625E+00  5.444192E+00  1.390477E+00  1.259111E+01  4.372837E-01  3.793719E-01
        13   5 -1.966068E+00 -5.500304E+00 -1.750047E+00  9.857590E+00 -1.855016E-01 -3.335158E-01
        13   6  2.274971E+00  5.251260E+00  1.635187E+00  9.835392E+00 -1.909982E-01  3.275343E-01
        13   7 -1.818413E+00 -5.315456E+00 -1.281541E+00  1.258464E+01 -2.646823E-01 -2.304284E-01
        13   8  2.033526E+00  5.047008E+00  1.195793E+00  1.256244E+01 -2.677175E-01  2.346652E-01
        14   1 -1.109668E+00  1.117958E+01  1.706785E+00  7.933703E+00  1.687119E-01  1.213031E+00
        14   2  3.629076E+00  2.289706E+01  5.785123E+00  7.564738E+00  2.392133E-01  2.263563E+00
        14   3 -2.681204E+00  1.023511E+01  1.300885E-01  1.089884E+01  3.918559E-01  9.799935E-01
        14   4  1.620670E+00  2.151572E+01  3.189065E+00  1.052988E+01  4.348138E-01  1.837171E+00
        14   5 -1.246759E+00  1.031114E+01  1.359928E+00  8.148488E+00 -1.925871E-01  8.228731E-01
        14   6  3.121749E+00  2.119677E+01  5.035999E+00  7.746644E+00 -1.236004E-01  1.515114E+00
        14   7 -2.905973E+00  9.325208E+00 -2.673128E-01  1.087830E+01 -2.688085E-01  5.864897E-01
        14   8  1.019394E+00  1.976769E+01  2.374760E+00  1.047645E+01 -2.277608E-01  1.082599E+00
        15   1 -5.132607E-02  2.840348E+01  5.944750E+00  2.857159E+00  1.935129E-02  3.145272E+00
        15   2  4.942038E+00  4.021005E+01  1.078273E+01  2.170829E+00  2.043642E-01  4.503612E+00
        15   3 -3.400191E+00  2.622106E+01  2.018860E+00  5.751968E+00  3.456835E-01  2.561359E+00
        15   4  9.466255E-01  3.738108E+01  5.348228E+00  5.065637E+00  4.574161E-01  3.682702E+00
        15   5 -4.105432E-01  2.621698E+01  5.056394E+00  3.109360E+00 -1.020695E-01  2.072581E+00
        15   6  4.122913E+00  3.699783E+01  9.387059E+00  2.335555E+00  7.891357E-02  2.903368E+00
        15   7 -4.005770E+00  2.391824E+01  9.891588E-01  5.726195E+00 -2.181867E-01  1.480284E+00
        15   8 -1.281445E-01  3.404326E+01  3.789551E+00  4.952390E+00 -1.115361E-01  2.070671E+00
        16   1 -4.789404E+00 -5.112848E+01 -8.157069E+00  1.591824E+00  3.113861E-01 -2.941680E+00
        16   2  8.147354E-01 -3.643796E+01 -4.167118E+00  2.158731E+00  2.338507E-01 -2.124405E+00
        16   3 -1.045911E+00 -4.850762E+01 -3.164372E+00  6.090223E+00  6.972435E-01 -2.448963E+00
        16   4  4.055704E+00 -3.431963E+01 -3.469787E-01  6.657130E+00  6.462162E-01 -1.764732E+00
        16   5 -4.331751E+00 -4.945984E+01 -7.334127E+00  1.662203E+00 -5.241378E-01 -1.723048E+00
        16   6  1.042132E+00 -3.526637E+01 -3.614645E+00  2.255688E+00 -6.000823E-01 -1.249661E+00
        16   7 -4.940318E-01 -4.680595E+01 -2.325565E+00  6.060344E+00 -4.698692E-01 -1.233896E+00
        16   8  4.380964E+00 -3.311138E+01  2.298443E-01  6.653830E+00 -5.194974E-01 -8.925910E-01
        17   1 -3.748997E+00 -2.936452E+01 -4.989955E+00  6.973184E+00  2.622359E-01 -1.564197E+00
        17   2  1.859296E+00 -1.458114E+01 -1.079033E+00  7.264074E+00  2.298108E-01 -8.509574E-01
        17   3 -1.803560E+00 -2.799513E+01 -2.370751E+00  1.151551E+01  6.354443E-01 -1.297008E+00
        17   4  3.381102E+00 -1.363538E+01  5.516997E-01  1.180640E+01  6.150118E-01 -7.033931E-01
        17   5 -3.465325E+00 -2.844538E+01 -4.531599E+00  7.031360E+00 -6.092230E-01 -9.216002E-01
        17   6  1.937630E+00 -1.410722E+01 -8.599138E-01  7.334274E+00 -6.409283E-01 -4.987084E-01
        17   7 -1.477349E+00 -2.706164E+01 -1.907083E+00  1.148716E+01 -5.156892E-01 -6.563446E-01
        17   8  3.505040E+00 -1.314404E+01  7.832830E-01  1.179008E+01 -5.354887E-01 -3.522119E-01
        18   1 -2.691171E+00 -7.457285E+00 -1.938371E+00  8.854091E+00  2.384181E-01 -3.373617E-01
        18   2  2.915773E+00  7.356628E+00  1.937529E+00  8.835621E+00  2.368427E-01  3.525681E-01
